Problem,n,Method,Case,h_mode,k_fd,tol,start_type,point_id,run_id,GradNorm,Iterations,MaxIterations,InnerMaxIterations,Success,flag,ConvergenceRate,TimeSeconds,FinalF,PathLen,LastStep
p31,2,nm,Full FD,scalar,12.0,1e-06,random,rand4,59,4.09051006070917e-08,1000,1000,,True,-,2.599178812416847,0.010504007339477539,4.967132058143196e-17,13,7.183361331188134e-05
p31,2,tr,Full FD,scalar,12.0,1e-06,random,rand4,59,7.87385404469806e-10,21,1000,1000.0,True,-,1.0804905467621388,0.011468172073364258,1.1114708977055862e-20,22,1.0653104963783785e-06
p31,2,nm,Full FD,scalar,12.0,1e-06,random,rand5,60,4.949174279771266e-08,1000,1000,,True,-,-65413.0806891415,0.019974946975708008,7.459108692548232e-17,20,0.00011712693715807425
p31,2,tr,Full FD,scalar,12.0,1e-06,random,rand5,60,0.00011734179224957286,999,1000,1000.0,False,MAX,,0.7557780742645264,0.3143832245896237,1001,0.0
p31,2,nm,Full FD,adaptive,4.0,1e-06,initial,xbar,61,3.3866988231434525e-08,1000,1000,,True,-,2.0155534474953094,0.003158092498779297,3.910688809062574e-17,6,9.746063926334443e-05
p31,2,tr,Full FD,adaptive,4.0,1e-06,initial,xbar,61,1.9161553445187777e-09,6,1000,1000.0,True,-,2.0271126631039036,0.002791881561279297,1.7934364235084381e-19,7,1.917056331525334e-06
p31,2,nm,Full FD,adaptive,4.0,1e-06,random,rand1,62,1.1044162796820548e-08,1000,1000,,True,-,2.022041187039614,0.003972053527832031,5.649703465384072e-18,7,1.1853935241774429e-05
p31,2,tr,Full FD,adaptive,4.0,1e-06,random,rand1,62,5.111809886388766e-09,7,1000,1000.0,True,-,2.0223751467165143,0.0033309459686279297,1.210526162050184e-18,8,4.961107274366366e-06
p31,2,nm,Full FD,adaptive,4.0,1e-06,random,rand2,63,2.7610091683325817e-08,1000,1000,,True,-,2.0157795451138893,0.003123044967651367,3.6599437736978225e-17,6,9.87226375894794e-05
p31,2,tr,Full FD,adaptive,4.0,1e-06,random,rand2,63,3.7600604877585537e-10,7,1000,1000.0,True,-,2.043409160615716,0.003117799758911133,6.912361086586987e-21,8,3.6528902377421714e-07
p31,2,nm,Full FD,adaptive,4.0,1e-06,random,rand3,64,4.127141867631629e-07,1000,1000,,True,-,2.0211253744692375,0.003137826919555664,6.9146394880971215e-15,6,0.00020602976301803785
p31,2,tr,Full FD,adaptive,4.0,1e-06,random,rand3,64,8.40464062630898e-07,5,1000,1000.0,True,-,1.9568160733318443,0.0023009777069091797,3.0154912656847344e-14,6,0.0002788145593843819
p31,2,nm,Full FD,adaptive,4.0,1e-06,random,rand4,65,2.0911281935297934e-08,1000,1000,,True,-,2.018530681650036,0.00431370735168457,1.892694321745951e-17,8,4.33116623892198e-05
p31,2,tr,Full FD,adaptive,4.0,1e-06,random,rand4,65,8.64671514400838e-09,6,1000,1000.0,True,-,2.020474423534545,0.003173828125,3.479119141966398e-18,7,8.899166323655026e-06
p31,2,nm,Full FD,adaptive,4.0,1e-06,random,rand5,66,4.509864489824951e-09,1000,1000,,True,-,2.0221494856932405,0.003654956817626953,9.943522165102897e-19,7,4.6772040545574345e-06
p31,2,tr,Full FD,adaptive,4.0,1e-06,random,rand5,66,1.340620003710379e-07,6,1000,1000.0,True,-,2.0268092190067097,0.0026378631591796875,5.203760965487726e-16,7,0.00012621477340364802
